airline,source_city,destination_city,departure_time,arrival_time,stops,class,duration_min,days_left,price
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,970,1,12150
Vistara,Delhi,Mumbai,Afternoon,Morning,one,Economy,1080,1,12150
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1390,1,12150
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1450,1,12150
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,530,1,11900
SpiceJet,Delhi,Mumbai,Evening,Night,one,Economy,270,1,12123
SpiceJet,Delhi,Mumbai,Evening,Morning,one,Economy,915,1,12123
Air_India,Delhi,Mumbai,Night,Morning,one,Economy,660,1,12150
Air_India,Delhi,Mumbai,Afternoon,Morning,one,Economy,1145,1,12150
Air_India,Delhi,Mumbai,Morning,Morning,one,Economy,1370,1,12150
Air_India,Delhi,Mumbai,Early_Morning,Morning,one,Economy,1585,1,12150
Air_India,Delhi,Mumbai,Night,Afternoon,one,Economy,1065,1,12215
SpiceJet,Delhi,Mumbai,Evening,Afternoon,one,Economy,1175,1,12230
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,140,1,12780
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1600,1,12885
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,910,1,12539
Air_India,Delhi,Mumbai,Evening,Afternoon,one,Economy,1250,1,12938
Air_India,Delhi,Mumbai,Night,Morning,one,Economy,685,1,12990
Air_India,Delhi,Mumbai,Morning,Morning,one,Economy,1335,1,12990
Air_India,Delhi,Mumbai,Early_Morning,Morning,one,Economy,1560,1,12990
Air_India,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1305,1,13086
Indigo,Delhi,Mumbai,Afternoon,Evening,one,Economy,230,1,13279
Indigo,Delhi,Mumbai,Evening,Night,one,Economy,265,1,13279
Indigo,Delhi,Mumbai,Morning,Evening,one,Economy,460,1,13279
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,500,1,13279
Indigo,Delhi,Mumbai,Night,Morning,one,Economy,625,1,13279
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1425,1,13673
Air_India,Delhi,Mumbai,Evening,Afternoon,one,Economy,1170,1,13410
Vistara,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,390,1,13935
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,745,1,14040
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1265,1,14040
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1600,1,14093
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1690,1,14093
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1695,1,14093
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,480,1,13767
GO_FIRST,Delhi,Mumbai,Afternoon,Night,one,Economy,555,1,13932
Vistara,Delhi,Mumbai,Night,Afternoon,one,Economy,1075,1,14408
Vistara,Delhi,Mumbai,Night,Night,one,Economy,1585,1,14408
Air_India,Delhi,Mumbai,Night,Afternoon,one,Economy,970,1,14250
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,425,1,14539
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,830,1,14985
Air_India,Delhi,Mumbai,Afternoon,Night,one,Economy,455,1,14670
Air_India,Delhi,Mumbai,Evening,Morning,one,Economy,950,1,15195
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,135,1,15720
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1465,1,15983
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1560,1,15983
Indigo,Delhi,Mumbai,Morning,Afternoon,one,Economy,250,1,15720
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,one,Economy,255,1,15720
Indigo,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,305,1,15720
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,1760,1,16245
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,265,1,16613
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,1020,1,16665
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1600,1,16665
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,1630,1,16455
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,1485,1,16665
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,345,1,17348
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,455,1,17348
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,765,1,17348
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,825,1,17348
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,1070,1,17348
Vistara,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,330,1,17400
Vistara,Delhi,Mumbai,Evening,Afternoon,one,Economy,1170,1,17505
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,455,1,17610
Air_India,Delhi,Mumbai,Night,Night,one,Economy,1430,1,17295
Vistara,Delhi,Mumbai,Afternoon,Evening,one,Economy,300,1,17663
Air_India,Delhi,Mumbai,Night,Night,one,Economy,1590,1,18030
Vistara,Delhi,Mumbai,Evening,Afternoon,one,Economy,1250,1,18398
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,770,1,18450
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,535,1,18487
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,360,1,18923
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,670,1,18923
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,730,1,18923
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,935,1,19238
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,945,1,19920
Air_India,Delhi,Mumbai,Afternoon,Night,one,Economy,475,1,19710
Air_India,Delhi,Mumbai,Early_Morning,Night,one,Economy,795,1,19710
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,960,1,20130
Air_India,Delhi,Mumbai,Evening,Evening,one,Economy,1365,1,19815
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,360,1,21075
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,380,1,21111
Air_India,Delhi,Mumbai,Morning,Evening,one,Economy,435,1,23206
Air_India,Delhi,Mumbai,Morning,Afternoon,one,Economy,1805,1,24540
Air_India,Delhi,Mumbai,Early_Morning,Evening,one,Economy,660,1,25800
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,1095,1,27270
Air_India,Delhi,Mumbai,Morning,Evening,one,Economy,365,1,29580
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,135,2,5953
SpiceJet,Delhi,Mumbai,Evening,Night,zero,Economy,140,2,5953
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,125,2,5955
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,130,2,5955
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,135,2,5955
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,140,2,5955
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,140,2,5955
Vistara,Delhi,Mumbai,Night,Night,zero,Economy,130,2,6060
GO_FIRST,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,2,5954
GO_FIRST,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,2,5954
GO_FIRST,Delhi,Mumbai,Evening,Night,zero,Economy,135,2,5954
GO_FIRST,Delhi,Mumbai,Night,Night,zero,Economy,135,2,5954
GO_FIRST,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,2,5954
GO_FIRST,Delhi,Mumbai,Evening,Night,zero,Economy,140,2,5954
Indigo,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,2,5955
Indigo,Delhi,Mumbai,Evening,Evening,zero,Economy,130,2,5955
Indigo,Delhi,Mumbai,Evening,Night,zero,Economy,130,2,5955
Indigo,Delhi,Mumbai,Morning,Afternoon,zero,Economy,135,2,5955
Indigo,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,2,5955
Indigo,Delhi,Mumbai,Night,Night,zero,Economy,135,2,5955
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,140,2,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,140,2,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,150,2,5955
AirAsia,Delhi,Mumbai,Early_Morning,Early_Morning,zero,Economy,130,2,5956
Air_India,Delhi,Mumbai,Evening,Evening,zero,Economy,120,2,5955
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,125,2,5955
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,2,5955
Air_India,Delhi,Mumbai,Evening,Night,zero,Economy,130,2,5955
Air_India,Delhi,Mumbai,Evening,Night,zero,Economy,135,2,5955
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,735,2,5949
AirAsia,Delhi,Mumbai,Evening,Morning,one,Economy,980,2,5949
GO_FIRST,Delhi,Mumbai,Early_Morning,Night,one,Economy,740,2,5954
GO_FIRST,Delhi,Mumbai,Evening,Early_Morning,one,Economy,740,2,5954
Air_India,Delhi,Mumbai,Afternoon,Evening,one,Economy,210,2,5955
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,225,2,5955
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,135,2,6375
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,2,7530
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,2,7530
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,2,7530
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,910,2,7419
Indigo,Delhi,Mumbai,Morning,Afternoon,zero,Economy,130,2,7845
Indigo,Delhi,Mumbai,Early_Morning,Evening,one,Economy,615,2,8396
SpiceJet,Delhi,Mumbai,Evening,Night,one,Economy,270,2,8869
SpiceJet,Delhi,Mumbai,Evening,Morning,one,Economy,915,2,9183
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,435,2,9840
Air_India,Delhi,Mumbai,Morning,Night,one,Economy,850,2,9840
Air_India,Delhi,Mumbai,Morning,Night,one,Economy,945,2,9840
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1535,2,10566
Air_India,Delhi,Mumbai,Afternoon,Evening,one,Economy,380,2,10303
Indigo,Delhi,Mumbai,Morning,Afternoon,one,Economy,245,2,10523
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,585,2,10523
Vistara,Delhi,Mumbai,Night,Night,one,Economy,1585,2,11048
Indigo,Delhi,Mumbai,Evening,Night,one,Economy,265,2,10838
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,500,2,10838
Indigo,Delhi,Mumbai,Night,Morning,one,Economy,625,2,10838
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,400,2,11100
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,480,2,11326
Indigo,Delhi,Mumbai,Morning,Evening,two_or_more,Economy,580,2,11678
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,745,2,12150
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,880,2,12150
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,970,2,12150
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1450,2,12150
Indigo,Delhi,Mumbai,Afternoon,Evening,one,Economy,230,2,11814
Indigo,Delhi,Mumbai,Morning,Evening,one,Economy,460,2,11814
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,605,2,11900
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,755,2,12308
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,265,2,12570
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1390,2,12570
Vistara,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,420,2,12623
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,495,2,12623
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,930,2,12623
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,435,2,12298
Indigo,Delhi,Mumbai,Night,Morning,one,Economy,610,2,12302
Air_India,Delhi,Mumbai,Night,Night,one,Economy,1410,2,12465
Vistara,Delhi,Mumbai,Afternoon,Morning,one,Economy,1080,2,12990
Air_India,Delhi,Mumbai,Morning,Late_Night,one,Economy,795,2,12675
SpiceJet,Delhi,Mumbai,Afternoon,Evening,one,Economy,1545,2,12850
Air_India,Delhi,Mumbai,Night,Morning,one,Economy,685,2,12990
Air_India,Delhi,Mumbai,Morning,Night,one,Economy,690,2,12990
Air_India,Delhi,Mumbai,Night,Afternoon,one,Economy,970,2,12990
Air_India,Delhi,Mumbai,Evening,Afternoon,one,Economy,1170,2,12990
Air_India,Delhi,Mumbai,Morning,Morning,one,Economy,1285,2,12990
GO_FIRST,Delhi,Mumbai,Early_Morning,Night,one,Economy,855,2,13069
GO_FIRST,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,465,2,13321
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,320,2,13673
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1265,2,13830
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,345,2,14093
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,730,2,14093
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,825,2,14093
Air_India,Delhi,Mumbai,Evening,Morning,one,Economy,950,2,13830
GO_FIRST,Delhi,Mumbai,Early_Morning,Evening,one,Economy,705,2,14129
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,670,2,14513
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,765,2,14513
Air_India,Delhi,Mumbai,Morning,Evening,one,Economy,340,2,14250
GO_FIRST,Delhi,Mumbai,Evening,Morning,one,Economy,910,2,14409
GO_FIRST,Delhi,Mumbai,Evening,Night,one,Economy,285,2,14487
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,360,2,14933
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,455,2,14933
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,475,2,15038
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,935,2,15353
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,1070,2,15353
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,1160,2,15353
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1560,2,15353
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1695,2,15353
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,425,2,15117
Air_India,Delhi,Mumbai,Early_Morning,Morning,one,Economy,1560,2,15195
Indigo,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,305,2,15232
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,375,2,15510
Indigo,Delhi,Mumbai,Morning,Afternoon,one,Economy,250,2,15720
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,one,Economy,255,2,15720
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,620,2,15720
Air_India,Delhi,Mumbai,Early_Morning,Night,one,Economy,795,2,16035
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,545,2,16560
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,925,2,16560
GO_FIRST,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,480,2,16823
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1465,2,17348
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1600,2,17348
GO_FIRST,Delhi,Mumbai,Afternoon,Night,one,Economy,555,2,17136
Air_India,Delhi,Mumbai,Night,Night,one,Economy,1430,2,18135
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,1630,2,18135
Vistara,Delhi,Mumbai,Afternoon,Evening,one,Economy,300,2,19343
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1600,2,19553
Vistara,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,390,2,19815
Air_India,Delhi,Mumbai,Morning,Afternoon,one,Economy,290,2,20445
Air_India,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1550,2,21180
Air_India,Delhi,Mumbai,Afternoon,Night,one,Economy,535,2,22335
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,450,2,23281
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,530,2,23281
Vistara,Delhi,Mumbai,Morning,Afternoon,one,Economy,1655,2,24488
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,480,2,24855
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,1705,2,25905
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,830,2,29160
Air_India,Delhi,Mumbai,Morning,Evening,one,Economy,385,2,29580
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,135,3,5953
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,140,3,5953
SpiceJet,Delhi,Mumbai,Evening,Night,zero,Economy,140,3,5953
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,125,3,5955
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,135,3,5955
Vistara,Delhi,Mumbai,Morning,Morning,zero,Economy,140,3,5955
GO_FIRST,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,3,5954
GO_FIRST,Delhi,Mumbai,Evening,Night,zero,Economy,135,3,5954
GO_FIRST,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,3,5954
GO_FIRST,Delhi,Mumbai,Evening,Night,zero,Economy,140,3,5954
Indigo,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,3,5955
Indigo,Delhi,Mumbai,Morning,Afternoon,zero,Economy,135,3,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,140,3,5955
Indigo,Delhi,Mumbai,Morning,Morning,zero,Economy,150,3,5955
AirAsia,Delhi,Mumbai,Early_Morning,Early_Morning,zero,Economy,130,3,5956
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,125,3,5955
Air_India,Delhi,Mumbai,Early_Morning,Morning,zero,Economy,130,3,5955
Air_India,Delhi,Mumbai,Evening,Night,zero,Economy,130,3,5955
Air_India,Delhi,Mumbai,Evening,Night,zero,Economy,135,3,5955
GO_FIRST,Delhi,Mumbai,Evening,Early_Morning,one,Economy,740,3,5954
GO_FIRST,Delhi,Mumbai,Early_Morning,Night,one,Economy,945,3,5954
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,225,3,5955
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,130,3,6375
SpiceJet,Delhi,Mumbai,Evening,Night,zero,Economy,130,3,6060
SpiceJet,Delhi,Mumbai,Evening,Early_Morning,one,Economy,795,3,6270
Vistara,Delhi,Mumbai,Evening,Night,zero,Economy,135,3,6690
GO_FIRST,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,3,6532
GO_FIRST,Delhi,Mumbai,Night,Night,zero,Economy,135,3,6532
Vistara,Delhi,Mumbai,Morning,Afternoon,zero,Economy,140,3,7005
Air_India,Delhi,Mumbai,Evening,Evening,zero,Economy,120,3,6795
GO_FIRST,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,3,7110
Indigo,Delhi,Mumbai,Early_Morning,Evening,one,Economy,615,3,7420
Indigo,Delhi,Mumbai,Morning,Afternoon,one,Economy,300,3,7583
Indigo,Delhi,Mumbai,Morning,Afternoon,zero,Economy,130,3,7845
Indigo,Delhi,Mumbai,Evening,Night,zero,Economy,130,3,8055
Indigo,Delhi,Mumbai,Evening,Evening,zero,Economy,130,3,8370
Indigo,Delhi,Mumbai,Afternoon,Evening,zero,Economy,135,3,8370
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,3,9525
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1535,3,9988
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,735,3,9840
Air_India,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1475,3,9988
Indigo,Delhi,Mumbai,Afternoon,Evening,one,Economy,360,3,10523
Vistara,Delhi,Mumbai,Early_Morning,Night,one,Economy,930,3,11048
SpiceJet,Delhi,Mumbai,Evening,Morning,one,Economy,915,3,10759
Air_India,Delhi,Mumbai,Evening,Night,one,Economy,1485,3,10785
GO_FIRST,Delhi,Mumbai,Early_Morning,Night,one,Economy,855,3,10863
Indigo,Delhi,Mumbai,Night,Morning,one,Economy,625,3,10943
Vistara,Delhi,Mumbai,Night,Afternoon,one,Economy,1075,3,11415
Vistara,Delhi,Mumbai,Evening,Afternoon,one,Economy,1250,3,11415
Vistara,Delhi,Mumbai,Night,Night,one,Economy,1585,3,11415
Indigo,Delhi,Mumbai,Evening,Night,one,Economy,265,3,11326
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,500,3,11326
Air_India,Delhi,Mumbai,Evening,Afternoon,one,Economy,1250,3,11468
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,755,3,12098
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1450,3,12150
SpiceJet,Delhi,Mumbai,Evening,Night,one,Economy,270,3,11809
Indigo,Delhi,Mumbai,Afternoon,Evening,one,Economy,230,3,11814
Indigo,Delhi,Mumbai,Morning,Evening,one,Economy,460,3,11814
Air_India,Delhi,Mumbai,Night,Afternoon,one,Economy,990,3,11900
Indigo,Delhi,Mumbai,Early_Morning,Morning,one,Economy,290,3,11993
SpiceJet,Delhi,Mumbai,Afternoon,Evening,one,Economy,1545,3,12010
GO_FIRST,Delhi,Mumbai,Morning,Night,two_or_more,Economy,660,3,12045
GO_FIRST,Delhi,Mumbai,Evening,Morning,one,Economy,910,3,12045
Air_India,Delhi,Mumbai,Night,Morning,one,Economy,680,3,12150
Air_India,Delhi,Mumbai,Night,Night,one,Economy,1430,3,12150
Air_India,Delhi,Mumbai,Early_Morning,Morning,one,Economy,1585,3,12150
GO_FIRST,Delhi,Mumbai,Evening,Night,one,Economy,285,3,12229
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,320,3,12623
Air_India,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1490,3,12298
Vistara,Delhi,Mumbai,Afternoon,Evening,zero,Economy,130,3,12780
Air_India,Delhi,Mumbai,Early_Morning,Night,one,Economy,895,3,12465
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1600,3,12885
Indigo,Delhi,Mumbai,Evening,Night,one,Economy,320,3,12570
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,620,3,12570
AirAsia,Delhi,Mumbai,Evening,Early_Morning,one,Economy,910,3,12990
Vistara,Delhi,Mumbai,Afternoon,Afternoon,one,Economy,1425,3,13410
GO_FIRST,Delhi,Mumbai,Morning,Afternoon,one,Economy,305,3,13069
GO_FIRST,Delhi,Mumbai,Morning,Evening,one,Economy,425,3,13069
Air_India,Delhi,Mumbai,Morning,Afternoon,one,Economy,1565,3,13086
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1390,3,13515
SpiceJet,Delhi,Mumbai,Early_Morning,Morning,one,Economy,255,3,13200
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,325,3,13279
Air_India,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,480,3,13515
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,745,3,14040
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1465,3,14040
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1560,3,14040
Indigo,Delhi,Mumbai,Early_Morning,Afternoon,one,Economy,305,3,13767
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,265,3,14565
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,945,3,14565
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1600,3,14565
Vistara,Delhi,Mumbai,Early_Morning,Morning,one,Economy,1710,3,14565
GO_FIRST,Delhi,Mumbai,Early_Morning,Evening,one,Economy,705,3,14235
Air_India,Delhi,Mumbai,Evening,Afternoon,one,Economy,1170,3,14250
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,495,3,14618
Vistara,Delhi,Mumbai,Evening,Morning,one,Economy,880,3,14775
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1600,3,14775
Vistara,Delhi,Mumbai,Evening,Night,one,Economy,1695,3,14775
Indigo,Delhi,Mumbai,Afternoon,Night,one,Economy,480,3,14744
Vistara,Delhi,Mumbai,Morning,Night,one,Economy,825,3,15353
Vistara,Delhi,Mumbai,Morning,Morning,one,Economy,1640,3,15353
Vistara,Delhi,Mumbai,Afternoon,Night,one,Economy,1705,3,15405
Air_India,Delhi,Mumbai,Night,Afternoon,one,Economy,970,3,15090
Indigo,Delhi,Mumbai,Early_Morning,Evening,one,Economy,520,3,15232
Indigo,Delhi,Mumbai,Night,Morning,one,Economy,610,3,15232
Vistara,Delhi,Mumbai,Night,Night,zero,Economy,130,3,15720
