airline_idx,source_city_idx,destination_city_idx,departure_time_idx,arrival_time_idx,stops_idx,class_idx,duration_min,days_left,price
4,1,4,5,1,1,2,-1.1662537,-0.95898306,5105
6,6,5,6,3,1,2,1.4524109,-0.7377601,9529
1,1,5,2,3,1,2,0.11990458,1.6219511,3393
6,3,2,1,6,2,1,-0.47103298,0.66331846,76684
4,6,1,3,4,1,2,-1.0040355,1.6956921,2124
6,4,5,1,6,1,2,-0.4015109,-0.00035033678,5960
1,1,2,1,1,3,2,-1.560212,-0.7377601,1715
1,3,4,2,3,1,2,-0.34357587,1.5482101,2050
2,4,1,6,6,3,2,-1.4906899,-1.106465,4453
2,5,1,3,1,1,2,1.0700395,-0.29531422,3959
4,4,2,3,6,3,2,-1.525451,-1.032724,4558
2,5,6,1,5,1,2,0.74560314,1.0320233,5102
2,3,1,3,3,1,2,1.7884343,-0.8852421,10890
6,2,6,5,3,1,2,-0.89975244,-0.14783229,5372
4,2,6,1,6,1,2,-0.6332512,0.66331846,4027
6,6,3,5,3,1,2,-0.9692745,-1.253947,15541
6,1,5,5,6,2,2,-0.13500966,1.1057643,9017
2,2,6,2,6,1,2,0.52545,-0.3690552,5092
6,2,3,6,3,1,1,1.1395615,0.29461357,57920
6,1,2,2,3,1,2,0.1430786,1.6219511,4672
2,2,5,5,6,1,2,0.027208494,0.7370594,4363
2,2,1,5,6,1,1,-0.2856408,-0.59027815,60260
6,3,1,2,5,1,2,-1.0040355,-0.7377601,4272
6,6,2,2,6,1,1,0.21260066,-0.3690552,57453
6,5,6,2,5,1,1,2.2403276,-0.59027815,59254
2,3,6,3,5,1,2,0.4211669,-0.8115011,6601
6,6,3,5,5,3,2,-1.3864068,0.51583654,2339
6,1,2,3,5,1,2,0.54862404,1.5482101,6161
2,3,4,6,6,3,2,-1.3979938,-0.7377601,2518
6,2,5,6,5,1,2,-0.13500966,1.5482101,5937
6,1,5,3,3,1,2,1.4176499,1.3269873,8112
4,6,3,5,1,1,2,-0.8070563,-0.29531422,6668
6,1,3,3,5,1,1,-0.0075525404,1.6956921,42521
6,3,1,2,6,1,1,0.16625263,-1.4014289,57017
6,5,1,6,3,1,2,1.1627356,-1.180206,11853
6,1,6,6,2,1,1,-0.20453173,-0.3690552,67004
2,5,1,1,5,1,1,0.72242916,-1.4014289,60978
6,2,5,6,3,1,2,1.2206707,0.07339064,5937
6,4,3,6,6,3,2,-1.3864068,-1.5489109,6133
4,2,6,1,3,1,2,-0.93451345,-1.4014289,9190
2,6,5,2,5,1,2,1.6493901,1.0320233,5685
4,1,4,1,1,3,2,-1.537038,-1.6963929,4338
6,6,1,5,6,1,2,-0.517381,-0.22157328,6765
6,2,4,6,5,1,1,0.050382517,-1.4014289,80544
6,4,1,5,3,1,2,-0.41309792,0.44209555,5441
6,2,6,5,3,1,1,-0.89975244,0.2208726,49553
4,1,6,2,5,1,2,-1.1083187,0.1471316,5178
2,3,6,6,6,1,1,1.9854134,0.29461357,41113
2,2,1,5,1,1,2,-0.8881654,0.51583654,3038
3,6,3,5,1,1,2,-0.8534044,0.2208726,5569
3,3,6,2,6,1,2,0.28212273,-1.6226518,8869
6,4,5,2,3,2,2,-0.2508798,0.1471316,9433
2,5,3,1,5,1,2,0.8382993,1.4007282,5234
1,6,3,2,5,3,2,-1.3979938,-1.180206,6967
6,6,5,1,3,2,2,-0.6795992,-1.327688,20983
3,1,3,3,6,1,2,-0.8418174,-0.5165372,3466
2,2,6,2,3,1,1,0.22418769,-1.327688,49553
1,4,6,3,2,1,2,-0.100248635,0.8108004,2250
6,2,6,2,3,1,1,-0.20453173,0.44209555,61873
4,2,4,5,3,2,2,-0.21611875,-0.59027815,8523
2,2,3,5,3,1,2,-0.30881482,-1.032724,9768
2,5,2,1,5,1,2,1.3481278,1.5482101,4893
2,3,5,5,1,1,1,2.0781095,-1.6226518,53209
2,4,2,5,6,1,1,0.0040344708,0.51583654,51595
2,3,4,5,6,2,2,3.4337897,-0.8852421,9831
2,5,2,3,2,1,2,0.2589487,-0.59027815,6271
6,4,3,5,3,1,2,-0.36674988,-0.95898306,10018
2,5,4,1,5,1,1,1.1395615,-0.22157328,52063
6,6,4,1,5,1,2,0.6760811,-0.4427962,3334
2,1,2,2,2,1,2,1.7189121,0.7370594,3720
3,1,3,1,6,1,2,-0.517381,0.66331846,3466
4,4,5,3,3,3,2,-1.4211679,-1.7701339,10123
2,1,4,2,3,1,2,3.2252235,0.8108004,10090
2,6,3,6,6,1,1,2.0201745,-0.22157328,41101
3,2,1,1,6,1,2,-0.8070563,1.5482101,4445
2,3,2,3,2,1,1,0.15466562,0.29461357,45257
2,5,4,1,5,1,1,1.1395615,-0.074091315,52063
2,2,5,5,3,1,1,-0.41309792,-1.253947,55377
6,1,4,3,1,1,1,0.6529071,-1.032724,56588
6,3,6,5,6,1,2,0.050382517,0.51583654,5227
2,2,4,6,5,1,1,0.27053574,-0.00035033678,51345
2,3,5,5,1,1,1,2.1244576,1.4007282,42212
4,6,5,2,1,1,2,-0.7607083,0.8845414,7382
6,6,5,1,6,1,1,-0.2624668,-1.4014289,67757
6,4,2,3,6,1,2,1.9970005,-1.5489109,11319
2,4,1,5,1,1,2,-1.1546667,-1.6226518,4453
6,6,2,5,3,1,1,-0.64483815,1.1795052,64173
2,2,5,5,5,1,2,1.5798681,1.6956921,3038
4,1,3,5,1,1,2,-0.7722953,-0.95898306,15153
1,5,1,3,6,1,2,-1.1199056,-1.106465,6490
6,3,4,5,6,1,2,-0.41309792,-0.14783229,5772
6,4,2,1,6,1,1,-0.35516286,0.5895775,84075
3,5,3,2,1,1,2,-0.35516286,1.0320233,6324
6,1,2,2,6,1,1,0.1430786,1.3269873,60396
6,1,6,2,3,1,2,-0.21611875,-0.7377601,6568
4,6,4,3,3,3,2,-1.5022769,-1.7701339,4263
6,3,2,3,6,3,1,-1.3052977,-1.032724,27864
6,4,6,2,6,1,2,0.40957987,-1.6226518,11854
4,6,3,5,3,1,2,-0.61007714,0.8108004,4043
6,6,4,1,6,1,2,-0.552142,-0.22157328,3971
6,6,5,1,3,3,2,-1.3052977,-1.8438748,13293
6,3,5,3,3,1,1,1.3597149,1.4007282,67769
3,3,1,5,3,1,2,-0.7491213,-0.8852421,7424
6,1,4,2,3,1,1,-0.042313572,-1.7701339,59948
6,1,4,6,5,1,1,0.038795505,0.51583654,56588
6,1,4,6,6,1,2,1.53352,-0.66401917,5322
5,6,5,3,5,1,2,0.20101365,0.2208726,5289
2,5,4,2,6,1,1,0.60655904,1.1795052,52063
6,6,5,5,3,1,1,-0.4015109,1.4007282,64285
2,2,3,6,6,3,1,-1.3052977,-1.7701339,31721
6,2,3,2,3,1,2,0.07355654,-0.59027815,5606
4,1,3,1,3,3,2,-1.3168848,-0.29531422,4500
6,5,1,3,6,1,1,1.8695433,0.2208726,71058
4,5,2,1,6,1,2,-0.4015109,-0.4427962,5280
3,6,1,2,1,1,2,-0.2740538,-1.253947,5102
6,6,1,2,6,1,2,0.30529678,-1.106465,11843
6,2,4,5,6,1,2,-0.0075525404,0.5895775,4401
3,5,6,5,6,1,2,0.3516448,1.1057643,5507
6,5,1,1,6,1,1,-0.6795992,1.3269873,61874
2,6,1,2,1,1,2,-0.505794,1.0320233,3623
4,2,5,1,3,3,2,-1.3748199,1.4744692,2359
4,2,3,5,3,1,2,-0.8418174,-0.8115011,7877
4,4,5,1,6,1,2,-0.552142,-0.8852421,5750
2,6,2,2,6,1,2,0.60655904,-0.59027815,4732
6,3,2,5,3,1,1,-0.2508798,-1.6963929,58361
6,1,6,2,3,1,2,-0.01913955,-0.074091315,6568
6,1,5,2,3,1,1,-0.2972278,-0.074091315,60508
2,6,1,5,1,2,2,1.7073252,-1.5489109,14766
6,5,2,5,5,2,2,1.8579563,0.07339064,15374
6,1,6,2,3,1,2,-0.37833688,0.5895775,6568
1,6,4,6,5,1,2,0.050382517,1.5482101,2105
6,6,5,1,5,1,1,0.75719017,1.6219511,62045
6,5,6,6,6,3,2,-1.2937107,1.5482101,4499
6,3,6,1,6,1,2,-0.552142,-0.00035033678,5227
2,6,3,6,1,1,2,0.52545,-1.032724,12978
6,1,2,5,6,1,2,-0.23929277,1.4744692,6510
3,6,3,5,1,3,2,-1.3864068,1.1795052,2339
2,6,1,3,3,3,1,-1.4559289,-0.074091315,20684
2,6,3,6,6,1,2,1.6378031,-0.00035033678,5269
2,1,3,2,5,3,2,-1.3168848,1.1795052,4491
6,4,6,2,3,1,2,0.0040344708,1.1795052,4416
2,2,5,6,3,1,2,1.3944758,1.3269873,6307
6,1,5,3,5,1,1,0.4211669,1.3269873,51817
6,6,2,5,5,3,2,-1.4095808,-1.6226518,7518
4,3,2,5,6,1,2,-0.2508798,0.5895775,3389
2,2,5,3,1,1,1,1.2901927,-0.074091315,55377
6,3,5,3,5,1,1,0.22418769,-1.327688,73369
6,1,5,5,3,1,2,-0.54055506,0.07339064,8112
2,5,6,5,6,1,2,-0.19294472,-0.59027815,6363
3,5,6,2,1,1,2,-0.7491213,-0.074091315,5888
6,6,4,2,3,1,1,0.015621481,1.5482101,60365
2,6,2,2,6,1,1,0.15466562,-1.5489109,69407
6,6,4,3,1,1,2,0.8151252,-1.7701339,11664
3,1,6,2,3,1,2,-0.41309792,-1.327688,5177
2,6,1,2,3,1,1,-0.552142,1.4007282,54608
6,1,4,3,3,1,1,1.6725641,0.29461357,63163
6,1,4,2,6,1,1,0.37481883,0.07339064,56588
2,2,1,3,1,1,2,1.0121044,-0.29531422,6623
6,5,3,2,5,3,1,-1.3632329,-1.253947,28510
6,5,2,5,5,2,2,1.8579563,-1.032724,21923
6,6,5,3,5,1,2,0.22418769,-1.180206,10058
2,6,1,3,1,1,1,0.7340162,0.07339064,54608
1,2,5,5,1,1,2,-1.1778407,-1.6963929,21364
3,3,6,3,6,3,2,-1.3748199,-1.327688,5954
6,1,6,5,6,1,1,-0.505794,1.1795052,69244
6,2,4,2,3,1,2,-0.32040182,1.6956921,4086
4,6,2,5,3,1,2,-0.9924485,0.95828235,1890
6,3,1,5,6,1,1,0.2473617,-0.8115011,57017
6,1,4,6,1,1,2,0.3284708,0.66331846,5322
2,5,4,2,3,2,2,-0.030726561,-1.4751699,14364
6,1,2,3,3,1,1,1.7652602,-0.59027815,49992
4,5,2,5,1,1,2,-0.86499137,0.5895775,4170
6,6,2,6,6,1,1,1.4060628,-0.22157328,61933
6,3,2,5,3,1,1,-0.2508798,0.8108004,52392
4,2,4,3,6,1,2,-0.7722953,0.8845414,2651
6,1,4,2,3,1,2,-0.2624668,0.36835456,6885
6,6,2,5,6,2,1,-0.37833688,-0.14783229,75317
3,4,1,6,5,1,2,-0.2740538,1.3269873,6256
2,5,2,2,6,2,2,0.50227594,1.2532463,6720
6,2,5,6,5,1,2,0.038795505,-1.253947,16593
4,4,2,6,6,3,2,-1.525451,-0.5165372,1788
6,5,3,5,6,1,2,0.15466562,0.07339064,10243
2,3,6,6,3,1,1,1.3017797,-0.95898306,59033
6,1,3,3,3,1,2,1.6378031,-1.253947,10324
6,5,3,2,5,3,2,-1.3632329,-1.253947,8064
4,2,3,5,1,1,2,-1.0156225,-0.3690552,5452
4,5,3,3,4,1,2,-0.7491213,-1.106465,7954
2,4,2,6,5,1,1,-0.01913955,-0.29531422,51595
1,5,1,1,6,1,2,-0.7375343,-1.7701339,15663
2,4,5,1,3,1,2,2.2635016,-0.14783229,5544
6,1,5,6,3,1,1,1.3944758,-1.5489109,68841
1,3,4,2,1,2,2,-0.52896804,0.1471316,7056
3,6,4,5,6,1,2,-0.042313572,0.29461357,3916
2,2,6,6,5,1,2,0.07355654,-0.00035033678,4357
2,6,4,1,3,1,2,2.1012836,-0.95898306,7584
6,3,1,6,5,1,2,-0.14659669,0.5895775,4272
2,2,3,2,6,1,2,0.74560314,-0.66401917,8650
2,5,3,1,3,3,1,-1.3516458,-0.66401917,28510
6,5,1,3,5,1,2,0.6876681,0.44209555,6195
3,6,1,2,6,1,2,0.4443409,1.1057643,6319
6,3,1,1,3,1,2,-0.8070563,0.66331846,4496
6,4,1,5,1,1,2,-0.6564252,-0.4427962,7673
6,4,6,1,6,1,2,-0.505794,-0.59027815,4660
4,3,6,4,2,1,2,-0.62166417,1.4744692,4002
2,3,5,3,2,1,2,-0.042313572,0.51583654,7366
6,5,2,5,6,1,1,-0.30881482,1.1057643,55983
5,1,6,2,2,1,2,1.7652602,0.1471316,3450
6,2,1,5,3,1,2,-0.5753161,-1.7701339,20898
4,3,1,1,3,1,2,-0.9229264,1.2532463,4007
6,3,6,5,5,3,1,-1.3748199,-1.7701339,40296
6,5,3,1,3,3,2,-1.3632329,-1.106465,8589
6,6,3,6,5,1,1,0.07355654,-0.59027815,51372
5,1,3,6,4,3,2,-1.3284718,1.0320233,4500
6,6,2,6,6,1,1,1.545107,1.5482101,61933
5,3,6,1,1,1,2,1.2322577,0.66331846,3977
5,3,1,5,1,1,2,1.8695433,-1.8438748,7425
6,1,6,5,6,1,1,-0.23929277,-0.4427962,92736
2,1,6,5,3,1,1,-0.9229264,-0.8115011,39623
2,3,2,2,5,1,1,2.1823926,-1.7701339,50894
2,6,1,2,6,1,2,0.72242916,0.66331846,5775
6,6,1,3,3,1,1,1.6841512,-1.7701339,105764
6,5,1,5,6,1,1,0.11990458,0.7370594,60978
3,3,1,3,4,1,2,-0.71436024,-1.106465,7424
2,1,6,2,6,1,2,0.39799288,0.51583654,5761
2,2,4,5,6,1,1,0.20101365,0.8108004,51345
6,5,2,5,5,1,1,1.8347822,-0.22157328,55502
6,3,5,2,3,1,1,0.27053574,-1.253947,65529
1,3,1,5,1,1,2,-0.81864333,-1.6226518,7423
2,3,5,5,6,1,1,0.34005782,-1.5489109,53209
2,1,6,5,6,1,1,-0.06548759,0.07339064,54684
2,6,3,2,2,1,1,1.7304991,0.2208726,35520
1,1,3,3,4,1,2,-0.47103298,-0.00035033678,2723
6,6,3,2,3,1,1,0.13149159,-0.66401917,51372
6,5,3,3,5,1,2,0.38640586,1.1795052,6461
4,2,3,5,3,1,2,-0.6332512,-1.6226518,7877
6,1,2,5,5,1,2,1.9622394,0.1471316,4792
2,6,2,1,2,1,2,0.58338505,0.07339064,5380
2,5,3,3,1,1,2,0.9078213,1.3269873,11260
2,3,1,2,1,1,2,-0.7607083,-1.106465,11835
2,4,6,2,6,1,2,0.3516448,0.5895775,4783
2,6,3,5,3,1,2,-0.3899239,0.1471316,6878
6,6,4,2,3,1,1,0.16625263,0.66331846,53645
6,6,3,2,6,1,2,0.49068895,0.5895775,7576
6,3,4,1,6,1,2,-0.7722953,0.8845414,6076
2,6,2,2,3,2,2,-0.552142,0.29461357,7277
2,4,5,5,3,1,2,-0.61007714,-0.3690552,4368
2,6,3,3,4,1,1,-0.494207,1.3269873,32609
6,1,2,5,3,1,1,-0.11183564,-1.4751699,44280
2,3,5,2,1,1,1,-0.6795992,1.4744692,57405
6,4,6,3,5,1,2,0.21260066,-0.95898306,9178
6,4,2,3,6,1,1,2.3446107,1.6956921,51707
2,2,6,5,5,1,2,1.8231953,0.8845414,5617
2,3,1,1,5,1,2,1.1743226,-0.074091315,4230
6,1,4,5,3,2,2,-0.52896804,1.1057643,7167
6,6,4,5,5,2,2,1.3828889,-0.5165372,6601
2,4,5,3,6,1,2,2.1708057,-0.8115011,12197
3,5,1,1,6,1,2,-0.494207,-0.66401917,6267
2,3,4,6,6,3,2,-1.3979938,0.95828235,2098
3,6,3,5,3,1,2,-0.4015109,0.5895775,5982
6,3,1,5,3,1,2,-0.64483815,1.1795052,4496
6,1,3,3,6,3,1,-1.3168848,-1.6226518,32923
6,3,6,2,6,1,1,0.085143544,-0.4427962,69113
2,1,2,6,5,1,2,-0.042313572,0.8108004,6444
6,3,1,2,5,1,2,1.8231953,-0.22157328,3357
1,1,3,4,4,3,2,-1.3052977,0.95828235,4498
4,1,6,1,3,1,2,-0.8418174,0.5895775,3153
6,2,1,5,3,1,2,-0.83023036,-1.6226518,17013
4,4,6,5,5,3,2,-1.479103,-0.5165372,3096
2,2,3,1,1,1,2,1.7768472,0.66331846,5601
4,5,2,2,3,2,2,-0.35516286,0.51583654,4170
6,6,3,3,1,1,1,0.7340162,-1.6226518,53152
2,5,2,3,2,1,2,0.10831757,-0.00035033678,3644
6,1,2,2,6,1,1,0.58338505,-1.106465,44280
4,2,5,3,3,3,2,-1.4095808,-1.4751699,5147
2,6,1,3,1,1,1,0.7340162,0.5895775,54608
6,4,2,1,3,1,1,-0.72594726,-0.3690552,41314
5,6,3,5,1,1,2,-0.89975244,-0.4427962,3512
4,3,2,5,5,3,2,-1.3052977,-0.4427962,2343
6,4,2,1,3,1,2,-0.72594726,0.07339064,6287
6,3,2,5,6,1,1,0.28212273,0.1471316,60232
2,3,6,3,6,3,2,-1.3864068,0.29461357,2476
2,6,3,2,5,1,2,-1.0503836,-0.95898306,9828
2,1,3,3,1,1,2,0.6760811,0.5895775,4294
4,6,2,3,3,3,2,-1.4443419,-1.253947,6888
4,3,6,1,6,1,2,-0.5869031,-1.253947,13767
4,1,6,3,4,1,2,-0.8534044,-0.95898306,5178
1,5,1,2,3,1,2,-0.1581837,-0.7377601,5792
6,6,1,2,6,1,2,0.54862404,0.66331846,6450
2,1,3,2,6,1,2,0.38640586,-1.032724,10892
4,3,4,3,3,3,2,-1.3864068,0.95828235,4695
6,1,6,2,3,1,2,-0.35516286,1.0320233,6568
6,4,5,6,3,1,2,1.2901927,0.51583654,5960
2,3,6,2,6,1,2,0.1430786,-0.074091315,5810
4,1,6,2,1,1,2,-0.6332512,-1.8438748,10659
2,6,1,5,6,1,1,0.18942665,-0.00035033678,44571
6,1,2,2,3,2,2,-0.52896804,-1.106465,15804
5,6,3,6,6,1,2,1.9043044,0.95828235,5833
2,2,3,1,3,1,1,2.1012836,-1.6226518,45185
6,6,5,6,3,1,1,0.9889304,1.2532463,57677
4,5,6,5,6,1,2,-0.34357587,-0.5165372,7959
4,1,5,1,3,1,2,-0.7838823,-1.4751699,14796
6,4,1,3,6,1,1,-0.91133946,-0.8852421,56702
4,3,5,5,5,3,2,-1.3979938,1.1057643,3999
4,5,3,1,6,1,2,-0.91133946,-0.5165372,6489
6,2,5,3,3,1,2,1.9738264,-0.29531422,11803
6,1,3,6,5,1,2,-0.030726561,1.2532463,4796
4,4,6,2,2,3,2,-1.4906899,-1.253947,4453
6,3,6,1,1,3,2,-1.3979938,-1.4014289,5955
2,2,5,3,5,1,1,0.52545,-1.4751699,84374
3,6,4,2,5,1,2,-1.0156225,0.36835456,3574
6,1,6,3,2,1,2,0.2589487,-0.00035033678,6568
2,5,2,2,3,1,2,-0.030726561,0.66331846,5390
6,1,5,2,3,1,1,-0.2856408,-1.032724,51817
6,6,3,3,3,3,2,-1.3979938,-1.4751699,5943
6,4,6,5,6,1,1,-0.18135771,-0.8115011,60555
6,1,5,5,3,1,2,-0.54055506,0.36835456,8112
2,2,4,6,5,1,1,0.46751493,1.2532463,51345
4,1,4,5,6,1,2,-0.36674988,-1.5489109,8171
2,5,4,3,2,1,2,0.18942665,-0.074091315,9470
5,6,5,3,5,1,2,0.1430786,0.1471316,5915
2,1,6,4,3,1,2,0.40957987,0.7370594,5850
6,4,3,6,5,1,2,0.16625263,-0.3690552,6292
6,6,1,2,3,1,1,0.015621481,-0.29531422,62448
6,6,2,6,6,3,1,-1.4095808,-1.032724,23898
1,3,6,3,2,1,2,0.0040344708,-1.032724,8869
6,6,1,3,5,1,1,0.39799288,1.4744692,69168
4,3,6,6,5,1,2,-0.2856408,-1.180206,9861
2,3,6,6,5,1,2,-0.11183564,-0.59027815,3855
6,6,2,2,6,2,2,0.58338505,-1.5489109,15728
4,5,4,1,3,1,2,-1.0735576,-0.14783229,11450
3,3,6,5,6,1,2,0.07355654,-0.14783229,5958
6,6,2,1,6,2,2,-0.5753161,-0.29531422,7904
2,1,3,6,6,3,1,-1.2937107,0.2208726,32923
4,2,3,5,6,1,2,-0.06548759,-1.6226518,7877
3,2,1,1,6,1,2,-0.44785896,-0.29531422,4612
6,4,6,2,5,1,2,1.9970005,0.66331846,3571
2,6,1,1,6,1,2,-0.5984901,1.5482101,6502
6,6,5,3,3,1,2,1.614629,-1.032724,11129
4,5,1,1,3,1,2,-0.91133946,1.1057643,6028
6,3,5,3,5,1,1,0.34005782,1.0320233,67769
6,6,4,3,5,1,2,0.46751493,0.95828235,3334
4,6,5,5,3,1,2,-0.517381,-1.180206,13251
3,3,2,1,2,1,2,0.52545,1.5482101,4896
2,5,3,3,5,1,1,0.7340162,-0.14783229,53743
3,4,3,5,6,2,2,-0.11183564,-0.00035033678,6132
3,3,5,3,2,1,2,0.061969526,-1.4751699,5954
6,1,4,6,3,1,1,1.0584525,-0.59027815,56588
2,4,5,2,1,1,2,2.42572,-1.106465,12740
2,6,1,5,4,1,1,0.27053574,0.7370594,54608
6,5,6,6,3,1,2,1.2554318,-0.95898306,10425
6,5,6,5,6,1,2,0.050382517,0.1471316,6067
2,5,2,1,1,1,2,1.5914551,-0.14783229,8078
6,2,6,1,1,3,1,-1.4211679,-0.14783229,23838
6,3,6,3,6,1,2,-0.89975244,-0.22157328,6296
2,5,4,2,3,1,1,0.015621481,-1.6226518,52063
3,5,3,1,6,1,2,-0.1697707,0.07339064,6324
6,2,3,5,3,1,2,-0.54055506,-1.4751699,11868
4,2,5,1,6,1,2,-0.6332512,0.29461357,6306
6,1,5,5,3,1,2,-0.6680122,1.6219511,6271
2,2,1,1,3,1,1,2.1360445,1.6219511,43729
6,2,3,2,1,1,2,-0.71436024,0.2208726,5206
2,4,6,5,5,1,2,1.626216,0.51583654,4363
2,1,2,5,5,2,2,1.9043044,0.8108004,5539
6,1,5,5,3,1,2,-0.505794,-0.5165372,7721
2,1,5,3,5,1,2,0.20101365,1.6219511,4665
6,6,4,5,6,1,1,0.038795505,0.44209555,58125
6,1,2,2,6,1,2,0.3516448,-1.5489109,12454
4,3,1,6,2,1,2,-0.30881482,0.8845414,4688
2,1,4,3,6,1,2,1.9274784,1.1057643,5006
6,1,6,2,1,1,2,-0.5869031,0.66331846,6568
5,5,6,1,1,1,2,1.568281,-0.00035033678,6276
1,5,1,2,5,1,2,-0.8881654,0.66331846,3862
6,3,5,5,3,1,1,-0.79546934,0.5895775,65529
3,3,6,3,3,3,2,-1.4095808,0.36835456,2410
6,5,6,6,2,1,1,-0.100248635,0.7370594,89359
4,6,2,2,5,1,2,-1.0851446,-0.29531422,4069
2,5,3,3,5,1,2,0.6644941,-1.032724,13944
6,2,1,2,3,1,1,-0.2972278,0.66331846,60260
3,3,1,5,3,1,2,-0.6680122,-0.95898306,7424
